// Reference=MNI
// Bush G, 1998: Interference - Neutral
// Subjects=9
47.2	32.91	30.55
-47.94	22.05	22.51
14.15	13.67	32.54
-58.6	-.82	16.75
-41.34	-2.26	37.86
47.17	-49.83	-7.12
-28.25	-65.37	46.35

// Bench C J, 1993: Normals Group 1
// Subjects=6
-32.66	-62.16	51.43
42.94	-40.21	52.45

// Milham M P, 2001: Incongruent > Neutral
// Subjects=16
44.14	13.48	41.13
1.4	15.51	43.68
-23.97	-67.46	46.47
-43.51	6.1	36.07
-35.14	24.15	21.08
-34.68	-50.27	49.61
-43.24	-43.8	51.4

// Gitelman D R, 1999: Posner Task vs. Baseline
// Subjects=12
-21	-60	51
27	-60	57
-6	-60	57
3	-54	57
-27	-6	42
51	0	36
-33	27	-9
36	27	-6
-3	9	45
3	18	39
0	24	24
63	-39	12
-45	-69	-6
51	-60	-6
-33	-87	-3
48	-69	-24

// Astafiev S V, 2003: Attention vs. Fixation
// Subjects=15
-25.02	-61.84	50.47
-29.24	-59.06	59.21
24.21	-62.97	58.93
28.39	-57.29	49.48
34.87	-56.57	58.27
-31.47	-49.02	51.7
43.41	-50	59.85
-16.43	-63.56	54.98
0.66	-52.54	58.32
4.9	-44.06	57.56
-29.45	-6.37	52.56
38.91	0.39	51.21

// Beauchamp M S, 2001: Shifts of Attention vs. Fixation
// Subjects=9
-29.44	-3.99	55.71
33.61	-2.47	55.97
-42.44	1.79	35.3
44.14	2.48	36.48
-1.59	0.12	65.08
-26.07	-54.99	56.6
30.58	-56.76	56.1
-41.35	-71.62	7.99
47.33	-69.06	5.64
0.66	-63.46	54.78
3.66	-82.13	19.51
1.31	-78.82	-6.39

// DiGirolamo G J, 2001: Young Normals
// Subjects=8
-26.99	72.73	-12.09
-33.4	68.29	-13.87
-56.28	-13.18	35.6
-41.45	16.34	30.72
-39.6	24.36	-3.43
-31.06	30.93	-1.84
-24.21	15.7	48.42
-.73	22.19	47.61
-45.79	35.35	29.18
-45.88	41.01	19.79
-15.61	-95.7	10.83
-19.81	-95.04	19.74
-17.82	-87.77	3.5
-.27	-67.55	70.74
-28.25	-60.97	48.21
-47.89	-49.88	0.67
-60.75	-59.1	-7.33
47.85	58.21	-13.96
4.94	78.24	-26.3
50.43	18.84	27.23
56.61	20.88	-2.01
54.56	43.73	18.4
31.38	14.09	50.15
5.62	30.34	42.39
56.87	23.62	33.45
18.64	-94.98	17.07
16.44	-93.39	10.27
27.02	-76.93	2.07
42.31	-42.6	59.24
35.88	-60.42	49.66
48.34	-64.11	0.75

// Kimberg D Y, 2000: Switch - Repeat
// Subjects=9
-35.79	-21.04	56.1
-37.32	-65.28	-20.47
-26.08	-62.82	51.68
18.64	-4.93	53.01
-3.1	-28.64	-3.86
33.76	-49.34	55.44
32.99	28.42	-12.41
53.71	-80.28	-2.41
61.22	-3.05	32.29

// Milham M P, 2003: Oddball
// Milham M P, 2003: Incongruent, Eligible > Incongruent, Ineligible
// Subjects=16
-28.4	-95.44	15.41
-34.99	-84.16	-3.3
-17.67	-97.14	19.89
-32.59	-85.8	30.27
35.77	-94.54	21.29
27.22	-103.39	17.67
42.19	-92.21	23.25
-28.89	64.2	15.41
-41.54	22	21.33
-45.87	19.18	12.69
-45.61	13.11	44.43
-37.61	60.15	-8.68
46.23	12.98	34.46
5.53	40.4	34.86
-30.36	-58.53	52.49
38.02	-56	51.49
-43.83	44.57	10.54
-37.36	25.4	9.84
-35	14.61	35.26
-39.36	29.04	29.64
-46.05	26.09	-7.96
-26.79	24.26	-5.79
45.91	31.73	1.67
43.89	41.72	20.92
48.06	47.23	9.26
56.74	17.85	13.86
37.31	28.88	-6.92
5.38	43.26	16.78
9.86	12.42	30.46
-7.2	-11.46	25.97
7.88	-25.49	35.9
-22.05	0.57	45.21
54.77	8.63	32.5
54.96	-50.93	33.03
61.44	-54.6	39.95
44.45	-69	48.05
50.76	-39.18	47.7
12.15	-65.07	19.09
-30.4	-58.87	48.06
1.78	-61.88	61.32
-43.53	-77.52	0.7

// Norris D G, 2002: Incongruent vs. Neutral, SE-EPI, Activations
// Subjects=7
0.27	31.28	41.26
-39.27	7.98	32.52
42.86	21.19	17.08
-45	44.59	-2.83
21.23	67.79	2.27
-26.09	-61.85	50.49
28.38	-70.58	42.79
-45.61	-80.28	6.53
42.04	-83.9	6.95
-10.83	73.06	4.43

// Braver T S, 2003: Switch x Time
// Braver T S, 2003: Block x Time
// Braver T S, 2003: Block x Effect
// Subjects=13
-15.51	9.63	65.56
-28.21	-64.95	51.89
-41.78	32.63	-6.32
-47.96	18.53	18.35
18.01	-23.5	-35.76
-15.51	9.63	65.56
-28.21	-64.95	51.89
-41.78	32.63	-6.32
-47.96	18.53	18.35
18.01	-23.5	-35.76
-15.51	9.63	65.56
-28.21	-64.95	51.89
-41.78	32.63	-6.32
-47.96	18.53	18.35
18.01	-23.5	-35.76
24.58	44.09	12.03
37.37	53.68	11.07
5.39	31.29	13.32

// Sylvester C C, 2003: Normals, Group 1
// Subjects=14
15	-64	55
-22	-64	50
34	-45	35
-34	-49	55
26	-8	60
-34	0	55
45	26	25
-38	30	30
-26	-82	15
34	19	5
-26	26	10
-8	15	50
19	-8	20
-15	-8	15

// Kerns J G, 2005: Normal Subjects
// Subjects=13
1.36	19.48	40.01
-31.59	5.77	58.26
-26.12	-55.5	49.96
5.96	-59.54	49.93
55.08	-55.19	46.77
-43.49	6.36	39.39
54.72	14.72	28.64
-44.78	26.04	18.8
55.6	13.81	3.06
0.3	-60.63	8.82
52.29	20.42	-7.5
-38.56	19.62	-9.73
-56.45	-57.76	-4.15

// Nakao T, 2005: Normals
// Subjects=14
42	14	-8
34	20	-2
36	20	-10
52	14	34
44	16	28
42	6	52
36	56	14
38	42	30
-50	12	32
-44	28	16
-44	10	24
-2	26	40
-6	20	46
6	28	32
16	0	14
-16	-2	12
-8	-20	6
32	-64	50
34	-50	40
-26	-62	54
-20	-70	52
-34	-54	54
-34	-88	8
-28	-80	22
38	-54	-20
34	-68	-30
42	-58	-32

// Adleman N E, 2002: Normal Adults
// Subjects=11
-35.31	28.26	31.32
66.44	-44.33	30.04
-28.21	-65.57	60.65

// Belger A, 1998: Location Task > Fixation
// Subjects=18
6.3	49.38	-.48
-1.14	51.97	6.08
-22.43	36.24	10.99
50.2	37.39	5.6
-24.83	44.48	-19.78
7.99	-51.84	39.22
-4.2	-57.51	-19.27
3.65	-39.35	35.99
6.81	-37.64	30.24
51.67	-47.49	22.74
-59.69	-41.66	-2.12
48.59	-56	36.87
-53.03	-62.12	21.82
31.58	-49.7	51.04
-29.31	-60.89	49.33

// Fassbender C, 2006: Cue-Related Activations
// Subjects=15
-55.38	16.97	26.37
-40.45	14.52	20.83
38.64	23.97	25.82
43.02	10.76	33.57
26.13	-.32	56.99
-42.43	5.13	37.25
34.79	-50.74	51.09
-34.64	-49.84	55.15
-49.69	-37.67	48.73
-21.85	-58.82	47.95
32.2	-48.86	-7.03
9.78	26.97	25.9
13.12	-13.37	27.01
-32.06	21.75	3.4
33.08	23.82	-3.1

// Rudie J D, 2012: Typically Developing Controls
// Subjects=25
58	16	14
-56	10	18
50	4	42
-52	4	42
46	44	-4
-44	40	18
38	40	28
-26	-2	54
38	20	-2
-32	22	2
4	14	50
10	18	30
64	-32	30
-50	-42	52
26	-52	50
-30	-48	42
34	-80	24
-36	-88	20
16	-78	54
-22	-60	46
54	-44	10
48	-24	-6
44	-50	-10
16	42	-18
18	0	14
20	2	8
-18	-2	6

// Haist F, 2005: Healthy Controls
// Subjects=8
49.41	1.83	27.55
-42.51	5.42	27.19
42.26	-13.54	63.49
32.5	-5.19	48.41
-31.65	1.82	48.56
42.87	31.14	21.82
49.25	35.32	20.28
-33.21	50.55	4.34
-33.22	56.98	4.92
41.88	12.18	24.54
-54.25	-2.14	26.85
5.64	21.8	41.99
-2.9	20.69	42.18
-8.32	15.48	30.42
16.23	18.63	27.64
46.57	-24.09	64.33
-53.02	-20.31	39.51
-51.95	-41.08	32.31
27.37	-64.44	53.44
-28.19	-63.63	55.12
22.03	-69.93	51.73
-7.92	-60.59	51.29
-51.86	-44.62	41.53
61.22	-46.97	14.78
64.39	-47.3	10.31
-53.18	-41.66	11.19
38.87	-87.97	9.55
48.28	-68.05	-8.95
-39.39	-62.4	-10.65
-32.94	-69.68	-9
33.17	14.91	5.45
-32.02	16.63	6.06
16.19	-16.92	8.32
-12.72	-1.23	7.33
-16	19.9	5.6
23.62	-3.13	7.08
-.99	-55.2	-17.27
6.47	-75.22	-29.06
