Behavioral Analysis Plugin v3.1

Category,Domain,Raw Counts,Fractional,Standardized,Z-score
Execution (Speech),Action,29,0.010693215339233038,4.288495954379658,4.02343118411073
Execution (Unspecified),Action,116,0.012611437268971515,5.237182443260549,8.4427147668069
Imagination,Action,3,0.002099370188943317,0.038276177815035825,0.045619373945157145
Inhibition,Action,8,0.002775850104094379,0.3728398409416481,0.5850023263608727
Motor Learning,Action,7,0.013182674199623353,5.519696551590586,2.0980007631737037
Observation,Action,0,0.0,-1.0,-1.6997589711817729
Preparation,Action,2,0.0037174721189591076,0.8385336531569841,0.5199137127808798
Rest,Action,1,0.007042253521126761,2.4828560049241464,0.6302258728510883
Attention,Cognition,49,0.0031095316664551337,0.5378672472561371,1.9083684090533406
Language (Orthography),Cognition,4,0.002320185614849188,0.1474838809726885,0.18810939434144858
Language (Phonology),Cognition,9,0.005011135857461025,1.4783351749961353,1.5136722626746444
Language (Semantics),Cognition,25,0.0032354083085285364,0.6001214983150925,1.4731193800983367
Language (Speech),Cognition,25,0.003837887626650292,0.898087015271833,1.9176665752700839
Language (Syntax),Cognition,1,0.001644736842105263,-0.18656981463942643,-0.1537565100903666
Language (Unspecified),Cognition,1,0.0014388489208633094,-0.28839488820254855,-0.26154896607481304
Memory (Expliicit),Cognition,14,0.0022606168254480866,0.11802320971890892,0.2872814566416455
Memory (Implicit),Cognition,0,0.0,-1.0,-0.5764338861883697
Memory (Working),Cognition,25,0.0038115566397316663,0.8850646161733067,1.9006325929669434
Memory (Unspecified),Cognition,1,0.0013869625520110957,-0.3140560988914996,-0.2922972130380567
Music,Cognition,17,0.005698960777740529,1.8185096868544715,2.290942678040077
Reasoning,Cognition,20,0.0025591810620601407,0.26568279641517273,0.702459448344279
Social Cognition,Cognition,1,2.906131938390003E-4,-0.8562727251673267,-2.1138465200290324
Somatic,Cognition,1,0.002079002079002079,0.028202812264508926,0.019549836696684322
Spatial,Cognition,4,0.0023584905660377358,0.1664281903283697,0.20962094358967748
Temporal,Cognition,2,0.00477326968973747,1.3606947622874883,0.6845445094140074
Intensity,Emotion,1,0.0049261083743842365,1.4362835108336394,0.4974160018172762
Negative (Anger),Emotion,3,0.004137931034482759,1.046478149100257,0.7271721065799206
Negative (Anxiety),Emotion,3,0.00375,0.8546208226221078,0.6443417119564017
Negative (Disgust),Emotion,3,0.002824858757062147,0.39707783248369705,0.376293099262654
Negative (Embarrassment),Emotion,1,0.004201680672268907,1.0780065239463392,0.4269953106936792
Negative (Fear),Emotion,4,0.002572347266881029,0.27219434777936663,0.32056507209278606
Negative (Guilt),Emotion,1,0.00558659217877095,1.7629360485990435,0.5480213491989471
Negative (Punishment/Loss),Emotion,0,0.0,-1.0,-0.49717295334280537
Negative (Saddness),Emotion,4,0.0033085194375516956,0.6362797442488959,0.613573932157718
Negative (Unspecified),Emotion,6,0.002073255010366275,0.025360510088242104,0.04315084521204025
Positive (Humor),Emotion,0,0.0,-1.0,-0.5325882700254764
Positive (Happiness),Emotion,3,0.0021629416005767843,0.06971640814541183,0.08123837832761643
Positive (Reward/Gain),Emotion,17,0.0028173682466025854,0.39337328403826466,0.8892638822734892
Positive (Unspecified),Emotion,0,0.0,-1.0,-1.7263701398297309
Valence,Emotion,3,0.003367003367003367,0.6652038811421843,0.5476951774231765
Baroregulation,Interoception,0,0.0,-1.0,-0.4910221232932588
Gastrointestinal/Genitourinary,Interoception,3,0.009202453987730062,3.5512167426309396,1.228582122314104
Heartbeat Detection,Interoception,2,0.02666666666666667,12.1884147386461,1.2760891724669885
Hunger,Interoception,0,0.0,-1.0,-0.6600043671623745
Osmoregulation,Interoception,0,0.0,-1.0,-0.6811540143097443
Respiration Regulation,Interoception,0,0.0,-1.0,-1.0075032185334398
Sexuality,Interoception,7,0.0031362007168458782,0.5510568409025992,0.7339364558049764
Sleep,Interoception,0,0.0,-1.0,-0.7088484918284472
Thermoregulation,Interoception,6,0.010452961672473868,4.169674766890894,1.81675839188765
Thirst,Interoception,0,0.0,-1.0,-0.7059844458055287
Vestibular,Interoception,0,0.0,-1.0,-0.630166939402744
Audition,Perception,16,0.004260985352862849,1.1073365760819334,1.7339984069509
Gustation,Perception,1,9.45179584120983E-4,-0.532546736579179,-0.6435338260894283
Olfaction,Perception,2,0.0024449877750611247,0.20920673031596274,0.18122248822124484
Somesthesis (Pain),Perception,25,0.006810133478616181,2.3680574278073325,3.095798243880587
Somesthesis (Unspecified),Perception,15,0.005845674201091193,1.8910690921622884,2.189010677551865
Vision (Color),Perception,4,0.005427408412483039,1.6842092412441179,1.0735585947365858
Vision (Motion),Perception,7,0.0024752475247524753,0.22417216014660588,0.35984796276887443
Vision (Shape),Perception,10,0.0031269543464665416,0.5464839046254808,0.8720066132859402
Vision (Unspecified),Perception,13,0.0025565388397246805,0.26437604426548167,0.5640087464946449
