Behavioral Analysis Plugin v3.1

Category,Domain,Raw Counts,Fractional,Standardized,Z-score
Execution (Speech),Action,54,0.01991150442477876,8.847544190913847,6.34880822406043
Execution (Unspecified),Action,167,0.018156120895846922,7.979391965728549,10.984341865245618
Imagination,Action,23,0.01609517144856543,6.960117363248608,3.9814474268279705
Inhibition,Action,50,0.01734906315058987,7.580249005885301,5.959052912236727
Motor Learning,Action,6,0.011299435028248588,4.588311329934788,1.8614857003691019
Observation,Action,11,0.007713884992987377,2.815021795015088,2.185513393179342
Preparation,Action,7,0.013011152416356878,5.434867786049445,2.0909829783430847
Rest,Action,0,0.0,-1.0,-0.5363789817068286
Attention,Cognition,188,0.011930448026399289,4.900388622125587,10.585789692987515
Language (Orthography),Cognition,28,0.016241299303944315,7.032387166808819,4.401155303466625
Language (Phonology),Cognition,34,0.01893095768374165,8.362599549985399,4.993873397762882
Language (Semantics),Cognition,98,0.012682800569431862,5.272476273395162,7.77170811686547
Language (Speech),Cognition,118,0.018114829597789376,7.95897071208305,9.229415593495567
Language (Syntax),Cognition,8,0.013157894736842105,5.507441482884588,2.241784117120728
Language (Unspecified),Cognition,4,0.0057553956834532375,1.8464204471898058,1.1187271760793163
Memory (Expliicit),Cognition,63,0.010172775714516389,4.03110444373509,5.834293286377437
Memory (Implicit),Cognition,0,0.0,-1.0,-0.5764338861883697
Memory (Working),Cognition,84,0.012806830309498399,5.33381711034231,7.2136599196351705
Memory (Unspecified),Cognition,7,0.009708737864077669,3.801607307759502,1.9137137763182281
Music,Cognition,49,0.016426416359369762,7.1239396856393595,5.835687536096617
Reasoning,Cognition,60,0.007677543186180422,2.797048389245518,5.093088728794094
Social Cognition,Cognition,21,0.006102877070619006,2.018272771486139,2.6625518208718804
Somatic,Cognition,7,0.014553014553014554,6.197419685851562,2.148719430817772
Spatial,Cognition,24,0.014150943396226415,5.9985691419702185,3.9527882203878746
Temporal,Cognition,11,0.026252983293556086,11.983821192581185,2.9865399427360164
Intensity,Emotion,3,0.014778325123152709,6.308850532500917,1.4115970945712468
Negative (Anger),Emotion,6,0.008275862068965517,3.0929562982005137,1.6652587874525677
Negative (Anxiety),Emotion,5,0.00625,2.0910347043701796,1.318297526414812
Negative (Disgust),Emotion,10,0.009416195856873822,3.6569261082789897,2.262269304161811
Negative (Embarrassment),Emotion,5,0.02100840336134454,9.390032619731697,1.9490467600584296
Negative (Fear),Emotion,6,0.0038585209003215433,0.9082915216690498,0.9459352975046912
Negative (Guilt),Emotion,2,0.0111731843575419,4.525872097198087,1.071099301676814
Negative (Punishment/Loss),Emotion,0,0.0,-1.0,-0.49717295334280537
Negative (Saddness),Emotion,13,0.010752688172043012,4.317909168808912,2.698562413051268
Negative (Unspecified),Emotion,21,0.007256392536281963,2.5887617853088476,2.932336097142763
Positive (Humor),Emotion,1,0.007142857142857143,2.532611090708777,0.6348279289943186
Positive (Happiness),Emotion,10,0.007209805335255948,2.565721360484706,2.0169910101167785
Positive (Reward/Gain),Emotion,33,0.005469008949287372,1.7047834337213374,3.100746828808788
Positive (Unspecified),Emotion,10,0.006798096532970768,2.3621043691313988,1.9560837128650699
Valence,Emotion,8,0.008978675645342313,3.440543683045825,1.9875192768634982
Baroregulation,Interoception,0,0.0,-1.0,-0.4910221232932588
Gastrointestinal/Genitourinary,Interoception,3,0.009202453987730062,3.5512167426309396,1.228582122314104
Heartbeat Detection,Interoception,0,0.0,-1.0,-0.38981469867704666
Hunger,Interoception,1,0.004651162790697674,1.3003048962754826,0.47283985807019363
Osmoregulation,Interoception,1,0.004366812227074236,1.1596749026167195,0.4447432759994681
Respiration Regulation,Interoception,4,0.007984031936127744,2.948627167259311,1.338633016518245
Sexuality,Interoception,6,0.002688172043010753,0.329477292202228,0.4591490251078845
Sleep,Interoception,3,0.012096774193548387,4.982647814910025,1.3424246454793178
Thermoregulation,Interoception,3,0.005226480836236934,1.5848373834454468,0.9037261354647476
Thirst,Interoception,1,0.0040650406504065045,1.0104290760131254,0.4114185292376075
Vestibular,Interoception,0,0.0,-1.0,-0.630166939402744
Audition,Perception,45,0.011984021304926764,4.926884120230437,5.185594920601245
Gustation,Perception,5,0.004725897920604915,1.3372663171041057,1.0727667958385823
Olfaction,Perception,5,0.006112469437652812,2.023016825789907,1.3004619080351707
Somesthesis (Pain),Perception,36,0.0098065922092073,3.850002696042559,4.35523527646815
Somesthesis (Unspecified),Perception,25,0.009742790335151987,3.8184484869371467,3.6210535072953123
Vision (Color),Perception,8,0.010854816824966078,4.368418482488235,2.1232247153933534
Vision (Motion),Perception,56,0.019801980198019802,8.793377281172846,6.459267344360398
Vision (Shape),Perception,39,0.012195121951219513,5.031287228039375,4.851048122930304
Vision (Unspecified),Perception,45,0.008849557522123894,3.376686307072821,4.687260559491709
